,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,47917816253918720,-50.32630037124952,2.4438101746923007,-19.006232425980667,-43.06932047455284,-19.602827294817587,-0.6600420568832615,214,FIELD
1,48000730596272128,-55.25576761737754,2.3287254029950093,-20.262460901491917,-43.12150599909673,-18.829791510125123,-1.8302122387673885,214,HYA
2,48061409893621248,-45.22249094072641,2.258898390511328,-16.090900282055916,-43.09578444332229,-19.58758094418264,-1.7691865597271086,214,COL
3,3410453489023420416,-45.26043632555522,1.152219481371118,-15.678981012904767,-42.64719848951621,-19.203594921958647,-1.0428885629725206,214,L1495
4,144171233106399104,-43.54554438588868,2.097962201323424,-14.871607456895363,-42.6370213300598,-19.437211215295992,-1.0627296478772452,214,L1495
5,3410640887035452928,-49.59947330204939,1.4724217810307394,-17.30410460897378,-42.20771488736754,-19.483588895751243,-1.5638864325183937,214,TAU
6,3314079508140198528,-43.26119819306183,1.6176250668243786,-17.02375383781086,-42.72734450076118,-19.33736785528319,-1.0395973924146675,214,L1536
7,48203487411427456,-42.18820577273057,2.816017442486237,-16.570487514839986,-42.07614527608763,-19.142008082707992,-1.2633839770252289,214,FIELD
8,47752481485851136,-42.561946735808974,2.5182502244751905,-16.954449933258406,-40.8395205824406,-21.44294206664641,-1.5333853760330287,214,CAR
9,47541100375011968,-44.42940873607093,2.277667653979229,-17.700095498267736,-42.10538252181215,-19.68000819691368,-0.875326539446573,214,HYA
10,47485609397541632,-38.68050117270596,1.775120835419311,-15.322465555552382,-43.06353067569282,-19.015504313774628,-1.2672439471629264,214,L1495
11,3314213025787054592,-42.5330006161187,0.889723576833894,-15.970345110054252,-42.11041872137192,-19.31361286435503,-1.2691874447458575,214,MUTAU
12,3314212068010812032,-43.65352664313256,0.8968134946588148,-16.410831665399403,-42.36955025492124,-19.482465650036385,-1.1420345163080352,214,FIELD
13,3314109916508904064,-43.29220906457962,0.6129070516872721,-16.70125200242963,-41.94495530480265,-19.3791630844312,-0.4388423295647001,214,MUTAU
14,3312960205303089664,-41.04546652629846,0.2296312860289202,-15.854150515253798,-41.79257918717504,-19.23738874843829,-1.3836797495743405,214,MUTAU
15,3313778207594395392,-42.67285380999525,0.7617261007135577,-16.729055368893732,-42.94258296120498,-19.37902567546436,-1.9646088280875051,214,TAU
16,3314063908819076352,-43.41274736763107,1.4274605301185106,-16.948857177334677,-41.668906397772496,-19.49683198373272,-0.783261121493287,214,MUTAU
17,3313947704182762240,-46.42732415472304,1.1048918567478636,-18.803337192252343,-41.51904266422899,-19.065686123417105,-1.2930702214305043,214,HYA
18,3313662896313355008,-42.51314461843491,0.8805023752356639,-17.30721737942785,-41.0929704876284,-19.051074932370653,-0.0472002580818964,214,FIELD
19,3313653894061044224,-42.52524572237256,0.8387078636611364,-17.480498512052375,-42.19163648717618,-18.41393907581853,-1.12091848460918,214,FIELD
20,3313759000500605056,-50.50534152016934,1.0412377162357682,-20.39565391997009,-42.012196454938376,-19.06923756812556,-1.6237190517273228,214,TAUOR4
21,3313630082762446208,-52.93261755258453,0.7453202083517271,-21.94727071237698,-42.47439948109837,-19.521070192316174,-1.2543470852776055,214,TAU
22,3313689422030650496,-42.47735251774508,0.5265155442074718,-17.016756764149928,-40.99377790192982,-19.56917749855172,-1.547746546125973,214,MUTAU
23,3312921378798754304,-39.33059140860672,0.1601432230382051,-15.670157335669854,-42.32892103514635,-19.259208900533583,-1.9788226596005445,214,PERI
24,3312951748510907648,-42.51661869660335,0.0844911522323,-16.54617541969526,-42.57534993380983,-19.18396363833602,-1.372646872503457,214,MUTAU
25,3312842042162993536,-41.87226509274336,-0.2114884354509185,-16.83368480717174,-42.271463601896926,-19.566356285790228,-1.1082093817095997,214,L1495
26,3312899491645515776,-42.61008122146576,-0.1282531414402459,-16.884373416934004,-42.05143934218241,-17.923589383012043,-0.7255133862418686,214,TAUMGLIU12
27,3307844864893938304,-43.94813882153032,-1.4974197310858943,-18.99990030447836,-42.62295990932581,-19.223315497568564,-1.6986527745782962,214,L1495
28,3313259169388356608,-45.427605653831264,-0.3158923735988341,-17.004896287804257,-42.501299619840985,-18.90122334025463,-0.9807485175883714,214,TAUOR4
29,3312025586059836928,-38.12370274933341,0.2808825825763281,-16.22728169189224,-41.64602145133326,-19.3381250652782,-0.6019309196176157,214,L1495
30,3311179340063437952,-44.16449327774117,-0.4820367265006989,-18.761643593401025,-41.557748347445305,-18.987200410609997,-1.689673745439396,214,ABDMG
31,149313099234711680,-51.51945523505968,6.687536231732763,-16.28682055957193,-43.29467981565763,-18.785861771902702,-1.668028940072717,214,MUTAU
32,145664777917536512,-42.88158525667094,4.125722000492167,-14.678515567556458,-41.99069064205432,-18.91387789740854,-1.238457772746944,214,HYA
33,3312602348628348032,-48.64319643635055,-1.1269953264559132,-18.60908358209732,-42.11165808721933,-18.695088030039965,-0.7757797339363686,214,HYA
34,3312613000147191808,-42.37467833754143,-0.7763321559921171,-16.76303120436883,-41.8700011368771,-18.65451916984545,-1.1877156132105535,214,ABDMG
35,3312564037520033792,-42.49055927079564,-0.8749462731507848,-16.85801921250155,-42.625541547354224,-19.15746942144835,-1.2549992471974385,214,MUTAU
36,3309967059774839808,-43.331735041983535,-1.2332949995934042,-16.205556508209096,-44.6523616611105,-20.57986309417278,-3.247823609240892,214,HYA
37,3309956850635519488,-46.76076563679063,-1.3827340535788517,-17.699046076070264,-42.524171087350325,-19.63692599472382,-0.9060577053341774,214,MUTAU
38,49231668222673920,-45.52506745308781,4.028687531792328,-16.617009349161922,-40.43461453356703,-18.69980469397168,-0.5268383439517317,214,OCTN
39,151379150300399360,-55.537333680852,8.025105720398061,-14.918396243221595,-43.00861041042818,-19.138384539523567,-1.98382643356131,214,HYA
40,148867315986268672,-40.78172681642978,4.917408246211634,-13.61104811550778,-42.79648293275934,-19.10473128857453,-1.8350200029316284,214,HYA
41,146160558879786624,-50.31213640478988,5.3646519562150825,-16.394450135032265,-42.33522547364444,-18.79623410060406,-1.4463389885815934,214,COL
42,145916050683920128,-55.97353832264236,5.1181886714287295,-17.561060929527013,-42.88634234107823,-18.75319818846915,-1.1732283667894592,214,CARN
43,144377803854541184,-41.57494110681928,2.334060043281836,-13.33859497280192,-43.10823228285016,-19.32360451589729,-1.6962256738636423,214,HYA
44,145293181643038336,-44.8690855349828,3.631397007192175,-15.374972134848193,-39.33877332705109,-18.59467880048261,-0.0333895963353363,214,L1495
45,145373377272257664,-40.5762831737344,3.672520304126523,-14.065525532581894,-42.0313946907542,-19.10740542524672,-1.2137882680709966,214,L1495
46,145325548516513280,-47.04766761309323,4.138953487154351,-16.663318417266204,-42.20886630752526,-18.694689877379705,-1.6541300151789011,214,TAU
47,144534724778235392,-40.63530322426725,3.09839085584482,-13.972828693895751,-42.07392151597152,-19.25431120703293,-1.5170883782058713,214,HYA
48,6671260761147078400,50.153365596364985,-8.823271940481543,-27.53712563062381,-42.17520288097384,-17.07864267513997,-2.181078786514381,214,NOT FOUND IN DB
49,6659798004532262656,67.23410713894053,-13.128992194563168,-31.49768762384843,-42.65034369601553,-16.737319401282498,-2.6817901146032304,214,NOT FOUND IN DB
50,8479094371605632,-17.01115801095539,3.2108142931600048,-16.28197066899136,-42.83038449291432,-18.92746954916017,-0.7823261939307977,214,CHYA
51,11037726649058432,-24.331237926078543,2.705929541889981,-20.047709241891877,-41.83147649678028,-19.25134612325475,-0.883378846898699,214,FIELD
52,10584899657116672,-35.57476496798696,3.944888105233494,-30.475729854994285,-42.74296380373902,-23.069820645658115,-1.4565973071802802,214,MUTAU
53,2609889349030557696,9.609277675217204,16.814833496340338,-29.612363486916152,-41.31655594807883,-18.301483349703,-2.967191529384684,214,FIELD
54,2724890053318383232,6.818924736385138,15.73674691992688,-12.039224007539149,-43.02741870082895,-18.610232390235943,-1.9283753810850917,214,GRSCOS9
55,3121107276069392000,-71.93261840988522,-41.13083059575931,-14.0446202462615,-43.37096535625568,-19.37541270766272,-1.211689148503599,214,THOR
56,2936648571128733824,-30.180321448568613,-37.502871387851286,-14.995322984389874,-42.77849042825064,-18.673745020296828,-3.854989081615763,214,NOT FOUND IN DB
57,4795464336128889472,-8.505748676298246,-30.731655390209447,-19.0372490885506,-43.04125325412414,-19.268407851520315,-1.3772225128149715,214,FIELD
58,117654650480415744,-27.08904360138905,9.97610140777726,-13.280550650094682,-41.58429425697527,-19.27809561072172,-1.4414009523063154,214,FIELD
59,68001499939741440,-36.30769066870024,10.2799441415965,-18.378795125363062,-41.72157195042026,-19.18455386746149,-0.6802161340003359,214,FIELD
60,67351757289092224,-40.18682241456527,9.749531114471823,-16.211319434691166,-43.23968196930662,-19.32358661709684,-1.7032305634976828,214,PLE
61,65103668325506560,-36.30468263178442,8.9626701352027,-17.373430540915926,-43.27558519567282,-18.40895578929433,-1.766709440180283,214,PLE
62,64266768177592448,-39.32651525584061,9.201218333608743,-20.61027229079157,-39.879724926331534,-17.287983250702826,-0.8651387747677783,214,XFOR
63,42716408993806080,-40.67644312544644,7.314571688972904,-25.51080575512769,-42.1921658571232,-18.995608997485338,-0.6421959853762185,214,FIELD
64,6448793343683294208,61.665671902128935,-19.914715577769236,-40.42241212727584,-40.02463060391797,-16.551902696347135,-3.6879905366687424,214,NOT FOUND IN DB
65,6643068355298031616,64.27463217429907,-21.395785764921065,-32.38223150876665,-43.23662870970669,-16.87679586428313,-2.4686195870627445,214,NOT FOUND IN DB
66,6429557353396002304,43.71025900610955,-23.380740255502275,-34.44962828340942,-42.16053488814684,-16.549996656392317,-2.067876001600511,214,NOT FOUND IN DB
67,6506696546578716288,34.904795366244585,-16.38599518268461,-52.04999462909782,-42.700037937492695,-16.799651754362195,-3.082039079674081,214,NOT FOUND IN DB
68,431526153186969856,-30.18285700040281,57.21019474684483,0.8299764676827067,-40.4550161018977,-18.584156839517124,-1.9081456160402557,214,FIELD
69,1726684471988910080,-24.821175384967336,39.37138711466939,28.940934937355227,-40.77801193836374,-18.55644075604296,-3.367871926527231,214,LCC
70,2011704136754297984,-28.56894159639964,62.75734767269396,-2.3435867084350126,-40.07316967289892,-19.21944705428166,-1.934881505867056,214,FIELD
71,6413212563293453824,33.11824179774703,-31.43907955867528,-20.533530239187492,-43.61305730490485,-18.546683312798912,-2.3225056392986456,214,USCO
72,6372661474948673024,28.842117075937768,-24.310622237013654,-24.0953426275776,-43.11210189153337,-17.997734159876213,-2.2205801312103226,214,NOT FOUND IN DB
73,6359829933733745152,51.32159914282138,-55.86266691979309,-42.216747991436506,-43.3083426374521,-16.882640710853227,-2.661388202551022,214,NOT FOUND IN DB
74,1991383748821648768,-14.325591091765329,40.26485801981691,-7.116194764143148,-40.59528640199865,-18.541790441205592,-1.3697341013341102,214,FIELD
75,1943016133537388800,-21.919008241484605,59.27141801078211,-11.866969048176207,-40.43137192759698,-18.84441431327964,-1.2106493967653886,214,CRA
76,1938634064303146496,-21.61608636705027,65.17461003041502,-16.597498130669674,-40.127334498821234,-19.25507256143927,-1.6891066590801866,214,BPMG
77,2231007567767673472,-34.69912616262698,80.68691006287163,19.614178893211832,-38.9580828462329,-20.40574693598916,-2.983074464032999,214,NOT FOUND IN DB
78,1990437825230931584,-26.307010782430563,95.08252423351657,-9.628675355888843,-39.43441516862239,-21.092144352689385,-0.9325636421523242,214,OCT
79,1936294269205211136,-17.09452804747482,70.42529092900466,-15.900611229000733,-40.34675841329414,-18.98978702192397,-1.031181838925434,214,FIELD
80,395696646953688448,-25.13519152877375,53.120442816519024,-10.57758947702076,-40.79500334379932,-18.8084832300428,-1.3660595699345688,214,FIELD
81,396026569162536448,-41.74407846173287,83.71602578830051,-15.027859489964758,-39.24387047621665,-19.373761127754765,-1.5273528274811703,214,FIELD
82,2007885842119335168,-14.254045257624352,55.396217992479166,0.1593212188785918,-36.29943536404512,-17.603131333947985,-3.8429086932031,214,NOT FOUND IN DB
83,5768299171983335680,34.72991103139655,-46.65882472717416,-24.164263338301616,-43.87207169442878,-18.1643909110887,-2.7601989516750542,214,STHOR
84,1983234928851689984,-11.425133394995028,73.19382831839738,-13.256563971934556,-40.09498890102334,-19.428212173872573,-1.2343900867081814,214,GRSCOS9
85,1983205791793448576,-12.514567880023364,82.78862166331747,-15.505107289571942,-39.766607680111335,-18.94523035411404,-2.0019318987847505,214,FIELD
86,4633004247516364800,27.060218240725572,-56.85865871836745,-49.35650628736925,-43.40912556006823,-19.01229148467785,-3.536393647626344,214,NOT FOUND IN DB
87,1975500929709698560,-10.483516838664304,86.97010394339765,-10.69864364728742,-40.2327982281436,-16.83020024906046,-1.5835822785720026,214,FIELD
88,382167740483722112,-17.76209126722538,33.19821297343602,-13.5621659545393,-40.93321482855408,-18.58256263640553,-1.4748074179551338,214,FIELD
89,384052750089843328,-15.117538959638075,34.19489064578503,-14.035431725696204,-36.96682213863488,-17.988305260642164,-3.881528512569448,214,NOT FOUND IN DB
90,383474819290674944,-17.068251011111343,35.11353497740441,-15.245445027109971,-39.68581829356843,-18.39014037963956,0.0162385002929363,214,IC348
91,367239086996534400,-23.608845363336822,37.25129594814874,-21.298923840508703,-40.17291029689749,-18.46747275414847,-0.906780022146068,214,FIELD
92,1932616162285694592,-4.6248670821149735,29.68858409975944,-8.92356317660323,-39.07437008228291,-17.96054549949965,-1.495041637039682,214,FIELD
