,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,6778640750342255872,44.90050054417578,5.669152742246228,-37.85464351728944,-23.97045889911243,-5.694124847671136,-8.2846006733566,186,NOT FOUND IN DB
1,6694656337063729024,46.825372336363856,3.1503957140217773,-32.177466068879895,-25.086135300553124,-5.838860324678585,-6.229633362034448,186,NOT FOUND IN DB
2,6688727259268466944,53.64452380060329,-2.560263344425063,-27.79885207262133,-26.518133010130803,-6.431558974676888,-7.495650080526676,186,NOT FOUND IN DB
3,6767962877531550464,60.32865198083317,16.219528375496786,-24.25480530034545,-26.316568685389264,-5.2423585327537126,-7.188490743751668,186,NOT FOUND IN DB
4,6672684972301253504,51.81579462066312,-5.450119596952206,-35.11599080111017,-24.85666908646392,-5.741118161532393,-7.493357356920925,186,NOT FOUND IN DB
5,6447083877979665920,73.29229363266609,-29.396026351366142,-48.1882800382213,-23.59128213483306,-5.361376504076066,-8.414256251071855,186,NOT FOUND IN DB
6,6437075573390680960,76.93389794366502,-49.70934577283879,-33.5242184652414,-26.734698529966543,-7.171362057124718,-7.349985840964292,186,FIELD
7,6507837285596569600,36.29418897275043,-16.483238614571906,-48.04141650376664,-22.960888691123458,-6.027011194281219,-9.11787057334526,186,NOT FOUND IN DB
8,6354979403828027136,36.42567069993687,-39.90913096328087,-36.249189269971126,-22.025752611000577,-5.349139593578473,-7.769983766651848,186,FIELD
9,6349061351211182848,53.98192951010815,-60.59807579868384,-47.251031053033856,-24.04123332012531,-5.151516151669895,-8.788698109557618,186,NOT FOUND IN DB
10,6349061969686462464,53.65382064706262,-60.26931402110562,-47.0957808057919,-22.881416058932068,-6.582232375220354,-9.704112382934312,186,NOT FOUND IN DB
11,4620844400530949376,17.311272625706625,-36.58253516002982,-21.997192945655318,-21.990980925029916,-6.811287685503093,-10.041338252042287,186,NOT FOUND IN DB
12,5200778819304507904,36.43194120270029,-70.40001407910557,-23.490876534912363,-20.90660792458412,-6.880211323613604,-7.960047650962618,186,FIELD
13,4192912761314731008,61.66112942023367,33.293617176952736,-20.425739208955196,-25.774436905804876,-5.361598484602332,-9.767893386551265,186,FIELD
14,4196266512299457664,58.11601859385308,36.66091131630317,-20.14522328341475,-23.119204633562905,-6.013294872244513,-10.567248849570138,186,FIELD
15,4224030104313919232,37.39584850886932,33.252629292746256,-17.57864965665345,-26.014439520214925,-6.105612376939052,-7.013446672713066,186,NOT FOUND IN DB
16,6875998038220061568,75.6564171179318,42.12510750677416,-42.57198273554109,-23.761843407665484,-3.744591893943487,-10.110504843371508,186,NOT FOUND IN DB
17,6847858610786011008,63.872026200755805,20.134261228665967,-41.07813501818016,-24.132815035652424,-5.226483384727427,-8.219368964549414,186,NOT FOUND IN DB
18,5353178178984497024,22.98645893842898,-77.62174941383965,5.72559950211814,-22.557331902437948,-7.901037190914677,-4.775386807718722,186,FIELD
19,5199349252328301952,33.00569581009869,-66.5560076092953,-24.09613528256912,-21.95153416313284,-10.48301615272474,-7.511138339756332,186,FIELD
20,5228286130625763200,27.37021443962177,-55.495717066430565,-10.167798429717497,-20.591057800616877,-6.079694331990503,-5.4323063273977645,186,FIELD
21,6663054968430589440,92.09296137375762,-12.875838927169136,-38.05773181153052,-26.270657221067225,-6.154253081797041,-9.555226537669832,186,NOT FOUND IN DB
22,6581633280534827904,74.94541368587313,2.425412568364527,-72.70810509079605,-27.22296616637882,-6.413077414060366,-9.111032808890911,186,NOT FOUND IN DB
23,6695911880560604672,89.94523967221177,9.91348094471095,-60.35869056338427,-24.60654948841482,-5.0983468596570285,-11.357352613328295,186,NOT FOUND IN DB
24,6695911949280082432,89.8889287890763,9.908309094566173,-60.30875922326267,-24.62467456482319,-5.036081247444196,-10.833167483360285,186,NOT FOUND IN DB
25,6476138812043961984,91.9273770453012,-14.837158507169232,-68.3673029123472,-26.173963639026947,-5.487106246072897,-11.533280297711576,186,NOT FOUND IN DB
26,6634759861324411904,97.6189617149154,-46.12928743177627,-39.43120947587573,-25.970906368140348,-5.907102064717449,-8.464533071889054,186,NOT FOUND IN DB
27,6436941394314296704,79.31221890546686,-50.12829797616739,-36.465367482517294,-27.865293637501388,-4.407736701372588,-8.640435229373129,186,NOT FOUND IN DB
28,6365530729726532096,71.81808257982618,-64.47645162108242,-50.594892866979,-25.52222359036763,-4.90957449990673,-9.64311619643556,186,NOT FOUND IN DB
29,5820310607481958400,80.41545429128253,-74.53612516576072,-19.875461329054858,-26.459717182607047,-6.471688732033793,-9.806602858154791,186,FIELD
30,6682030683698323328,107.0378127608944,6.449537168224644,-79.76513944935866,-27.296136372031903,-5.615057149307639,-11.25620436553449,186,NOT FOUND IN DB
31,6349402917073709824,78.60778655600399,-85.00508879607288,-68.51784742806642,-22.52401478586458,-6.81867051577363,-8.925052802581504,186,NOT FOUND IN DB
32,5192801862444690944,54.83431107670955,-100.77112959502185,-57.00875184985628,-24.95561187805253,-6.313388179589306,-8.744621444380657,186,NOT FOUND IN DB
33,5782093193890031616,85.81424476454937,-85.8728420219322,-36.37543999143802,-24.875007605005187,-7.312330064409246,-9.050349979786674,186,NOT FOUND IN DB
