,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,5289143682612922624,8.272542084414171,-108.45430463337124,-34.94765929134116,-24.459452912780893,-13.232963874613093,-13.407250199540515,178,NOT FOUND IN DB
1,5273890540053188608,24.203658957926297,-131.37132202635593,-47.222203950571725,-26.44698888569273,-11.817710852802817,-13.83391542117905,178,NOT FOUND IN DB
2,5189069260987886464,60.627059556141226,-103.03410729949752,-56.78022933398977,-23.40355429360496,-13.681865782577788,-14.963942488358231,178,NOT FOUND IN DB
3,5506155151578111232,-21.28410452157028,-132.11322312379542,-34.60124040581998,-25.16951940836757,-12.866061155412735,-13.215476844659396,178,NOT FOUND IN DB
4,5295895787816617088,-1.219575306078616,-135.9636778853667,-32.25677041394716,-25.222888890048463,-14.818744543896871,-13.307911748126225,178,PL5
5,5294683610605378688,2.454164919656792,-121.40561344345213,-29.74274935571762,-24.611016857640777,-12.197069172953489,-12.502403695329168,178,NOT FOUND IN DB
6,5297302166274203136,25.15401451669574,-138.7919374256881,-25.381920300300752,-25.01968762172592,-15.391981449458791,-13.400406771647082,178,NOT FOUND IN DB
7,5302377477586099072,12.72386771637306,-145.9193814087696,-30.95455073577519,-24.476433344297117,-13.389406566806334,-14.499564313840438,178,FIELD
8,5302503749624651648,14.673355605529176,-144.77279332497852,-28.185700608853168,-24.65317717012543,-12.494217936769044,-13.96976676414474,178,FIELD
9,5301922726447508352,16.051930239914142,-141.86982742157608,-31.14077229776621,-24.62602988641164,-10.95234629720629,-13.107760850414111,178,FIELD
10,5230802186891465472,47.43293678269855,-122.3278848582152,-25.681019120077607,-24.441114917641663,-11.621160871001257,-13.387251554643155,178,NOT FOUND IN DB
11,5229498032967457920,53.28188558047956,-119.56513178149328,-26.219640743625877,-24.55563646464928,-14.350697269058774,-15.241399961475135,178,NOT FOUND IN DB
12,5232497122732422144,45.54222292809273,-120.60701724112845,-22.2507900579124,-23.13102240303392,-15.085404877419778,-14.160259977124907,178,NOT FOUND IN DB
13,5511067602031738624,-40.43729018811216,-175.39894431178334,-40.00809799651192,-28.44559562903673,-17.94408410504729,-14.406063107264046,178,FIELD
14,5838945813430206592,87.82372847961616,-127.27456740069331,-32.98868082874594,-22.420408391215428,-13.716322085258222,-15.85970958019542,178,NOT FOUND IN DB
15,5534089451377264640,-41.40305594343423,-181.66859848277096,-23.74746817596872,-27.116078119510934,-14.966369668336652,-13.001779059663,178,GVEL
16,5533082676681832576,-37.04635313448489,-174.80688125669744,-22.31889762329338,-27.720847661726047,-14.901140620555084,-12.627654740301136,178,FIELD
17,5537606754714614016,-49.548397606847,-184.33922687993,-21.462908593784963,-27.88624148799832,-16.06827182821006,-13.774959627893711,178,FIELD
18,5514301403172507392,-14.916674028837685,-165.9185257432334,-24.620703003637598,-25.765235456805605,-15.023234547027512,-13.718526849555976,178,FIELD
19,5322241903184319360,-5.720329625432373,-156.840419610651,-22.084882900032103,-25.36147305085669,-13.692138121942484,-13.587487157201911,178,CIC2391
20,5315346801354526464,7.66500441808317,-166.3411768107529,-27.289902250482257,-24.910410309360504,-12.76184189602414,-14.997398237156576,178,FIELD
21,5538855559407502080,-58.913208535147824,-181.1301345522004,-21.034095530781435,-26.504530235080527,-13.620858121839952,-12.169460382711788,178,GVEL
22,5586902052875518208,-60.00967234850377,-182.67688412987823,-20.97884976297326,-26.851502782370783,-14.444704865401864,-13.04362189845763,178,GVEL
23,5538853600902466048,-58.06813433030872,-179.80454761648224,-21.05830637251834,-28.4389014693428,-15.558089858527005,-10.90529497082702,178,FIELD
24,5538803774977628544,-57.0992662261064,-181.67107822387595,-21.905631824726782,-27.15753646560007,-13.329522206491704,-13.032278363958024,178,FIELD
25,5586942425568817408,-60.597215182824186,-180.83190312966727,-22.07718404478123,-27.50203609226952,-14.875726881392309,-12.664891795058834,178,GVEL
26,5543799513444373120,-53.10759893613447,-180.1637192833667,8.177362812504976,-27.71029693256903,-12.539236010348676,-10.03719088538594,178,NOT FOUND IN DB
27,5577593858009250176,-66.43824899718524,-149.63150362995498,-50.171895545757785,-26.78302586599672,-15.204442832627103,-13.93560873920456,178,IC4756
28,5512064854778724096,-40.816129461020125,-162.10907182261616,-35.53116957727679,-26.374040155781497,-12.730060377457573,-11.22157675712402,178,FIELD
29,5535174699413392256,-37.87281838626805,-160.80484562946958,-28.93565999177373,-26.84011922438188,-16.255814686496567,-13.33548042488134,178,FIELD
30,5537553840718897792,-49.42761929066032,-177.76341590659527,-23.887351906896303,-26.687360927530637,-12.849968595968903,-12.603687383698537,178,FIELD
31,5537149289155845888,-55.92474099622984,-182.7838504772258,-26.74881473335236,-26.86237589894433,-11.681502488511232,-12.460213749567728,178,FIELD
32,5538673590231497088,-53.29990415627146,-172.0487182241857,-24.110099699649226,-26.64379814210612,-12.57940683533956,-12.79479584414556,178,FIELD
33,5586745647345660672,-58.18910777660784,-180.58247447729528,-24.72887749784593,-27.86095161562544,-15.335178618694467,-13.109294387233742,178,FIELD
34,5537621907358879872,-49.57352096076136,-179.7422891413146,-21.564398851311285,-27.100204453825064,-14.588341244294009,-12.958764576001151,178,FIELD
35,5538535635883876224,-53.86482900143137,-178.48366290569348,-22.02928126491267,-26.75538988720875,-13.950546862897944,-12.564970917887436,178,TRU10
36,5538619026966459008,-55.34957482062829,-184.75867887493948,-24.16615815803462,-27.004432173861517,-15.723302414802912,-12.428921653633385,178,FIELD
37,5538646888413514624,-53.32009413691486,-174.11685783672297,-22.153976861251028,-25.959915924633258,-12.211429586036674,-12.175226572557756,178,FIELD
38,5538812506654586624,-56.89689887896667,-179.7318471944388,-22.510587032370797,-29.70642745243902,-16.993434495393483,-13.59193163921799,178,PL9
39,5587001657452951680,-59.70274940189496,-178.6291690264394,-26.018237792229712,-26.663374163714487,-13.080877179295792,-11.705100768240062,178,FIELD
40,5586843022846201856,-61.16409933880019,-183.8561799032097,-25.23537500465836,-27.28202807095998,-15.696146499649682,-13.00769968218435,178,FIELD
41,5587037567683661696,-58.76901427722764,-173.57394051072214,-24.06497808343524,-26.77121300860021,-14.293695364148634,-12.328251733191362,178,FIELD
42,5586853601340295040,-60.822315751826906,-180.71938738795436,-24.050094084565195,-27.63807915529313,-13.919150800628213,-13.418316852833073,178,FIELD
43,5586820929534988672,-58.07061034567303,-178.19047376860732,-24.279767244150094,-27.78632872812712,-16.58629701165111,-13.294295703344773,178,GVEL
44,5586798282161571328,-57.92705516656802,-177.08908314954544,-24.488633467828983,-26.23311229736545,-11.29717341960105,-12.66318943837525,178,GVEL
45,5586739634391178624,-57.40516602371779,-178.9278044750726,-25.386642892506675,-26.58299885990926,-13.166183049668316,-12.262809531331296,178,GVEL
46,5585285427185646848,-58.09675055402024,-180.1870402355919,-26.2190639203649,-25.365790692585943,-12.127406798198985,-13.145920668473195,178,GVEL
47,5586717438003568256,-56.86804880523472,-180.252325870744,-25.483741299774213,-27.97028783102575,-16.731697841948833,-12.465413545001145,178,GVEL
48,5585278928890699264,-58.41078675752247,-181.24144670067545,-27.45948908592187,-26.915556535520917,-13.227153937728083,-12.924469114302536,178,FIELD
49,5595296446198602368,-65.27944688076636,-158.0288847285921,-6.873047965933061,-25.578136209293294,-10.663598633623018,-11.493380076882982,178,SPLE
50,5588863066223277184,-72.50522866041268,-183.43788064216596,-17.8966891156053,-27.19652334814293,-13.593560551947297,-12.749576367038866,178,FIELD
51,5231919398094130560,65.6752160993128,-155.31099793788664,-25.54318585764221,-23.530424886286028,-13.198843207872171,-15.904727336589197,178,BPMG
52,5320600645860644096,-3.481551319103489,-154.46178739198197,-25.989709494675477,-24.99921694327989,-15.150508477072169,-12.796207040769238,178,FIELD
53,5319765291906540416,-1.3614781485828125,-153.7941303655395,-25.362046934014725,-25.34087060546335,-12.861220634257958,-13.128441288003971,178,FIELD
54,5319336581146870784,1.7169337541197789,-150.36021510797573,-28.53231957878265,-25.079591971991555,-13.603778777232884,-14.972425384272784,178,UPK545
55,5302377477586099072,12.72386771637306,-145.9193814087696,-30.95455073577519,-24.476433344297117,-13.389406566806334,-14.499564313840438,178,FIELD
