,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
25,53,-46.36379535999179,14.724308891126608,-58.95785075718828,31.65565842555798,-21.023929726475977,2.5985393103918275,-40.37125403043358,1.7573164391387903,-17.460372189405675,3.652847786993332,{'NOT FOUND IN DB': 33},33
26,54,-17.98795960251723,3.7250196006066822,58.74372193988596,33.30582584047535,-23.11581592503948,2.320647328891531,-39.59991871004165,1.1540159017380272,-15.66503858006076,0.922475741124856,{'NOT FOUND IN DB': 13},13
27,55,41.73438941269106,12.254976016172671,32.03849860894009,18.34982365879724,-17.235230252592388,2.5221259239001164,-38.83624102395314,1.6086566702155938,-17.76956923369145,2.5210699754189427,{'NOT FOUND IN DB': 18},18
28,56,-25.642861366065343,63.52551627797369,-65.98373439727747,30.69630109394905,-52.913560933288494,1.408412692734896,-37.60066762492581,1.7143693993102749,-14.413240552123122,2.1810966857735767,{'NOT FOUND IN DB': 18},18
29,57,30.78346345817208,-32.49126373187914,2.4303968797297766,21.136817516675737,-53.77984787663584,4.081253322643667,-37.30896415225536,0.9842158606702952,-16.939793517661837,4.66595285241782,"{'NOT FOUND IN DB': 24, 'PL3': 1}",25
30,58,50.0563757032795,102.2794350302963,-106.14421266567126,19.3196342124204,-33.40761480285104,1.5185684773987635,-46.27963322248764,2.632968219682969,-10.156221922761068,2.0272966920438584,{'NOT FOUND IN DB': 10},10
31,59,81.36179593781935,-57.88910630639924,-85.98956871138878,8.117715229269432,-32.08726478149323,4.120864415008012,-45.65466890353287,1.7219557075132348,-17.693265992174307,2.3577111695887982,{'NOT FOUND IN DB': 13},13
32,60,35.760480211836374,-24.013718328357196,-67.25512553302175,11.818930286177617,-17.668212398651463,4.082774943957706,-48.43794071344841,1.136527828659996,-10.031326043346048,2.825361077876922,{'NOT FOUND IN DB': 10},10
33,61,-6.472713619073583,37.85467911509018,-1.1740312577692025,28.50110153783069,-30.446620714207032,2.5747202690600988,-48.1759953842789,1.609398427700801,-2.7631964659247896,8.331334926078187,"{'NOT FOUND IN DB': 23, 'PRA': 1, 'THEIA168': 1, 'THEIA243': 1}",26
34,62,4.038303592678622,-25.11492221128894,69.22841261160865,9.908561673797228,-28.122925353250046,2.223934380569493,-49.43612951804626,1.4190184634398697,-13.794409925186406,2.8746944445025697,{'NOT FOUND IN DB': 10},10
35,63,-8.620575514021578,-12.958723413835443,-33.90764414578775,24.079753625527307,-29.35979600771958,1.5035167821009667,-49.44460876724234,2.3724397148986345,-15.461160515275957,2.7741882602778527,{'NOT FOUND IN DB': 16},16
36,64,24.451826486325285,-23.62830369972388,-6.443674126406392,41.8781087100489,-39.89618167170328,4.290328028887898,-47.95351558610251,1.8222307999724303,-3.242046145801973,3.140024148198837,"{'BL1': 1, 'NOT FOUND IN DB': 78, 'TAUOR4': 1, 'THEIA1094': 1, 'THEIA598': 1, 'XFOR': 1}",83
37,66,125.62613494204182,-75.8196717788212,21.502443792952192,39.32179184648646,-28.78510492703192,1.1475419300055492,-32.75416641737368,1.0867059624324509,-11.226515537440148,3.2866929684205224,"{'GRSCO': 1, 'NOT FOUND IN DB': 16}",17
38,67,43.54125999265084,-93.54343421618944,27.056148993609085,38.64138938937465,-28.231740382486823,2.052975716691761,-36.82320820774141,2.891103819351137,-19.641100355533418,2.7427965716891816,{'NOT FOUND IN DB': 16},16
39,78,119.3244715475094,-30.28536992314675,-31.31647094971262,71.15037880856063,-37.47146498047851,2.456734310232749,-31.21117314198925,2.6772335803888483,-14.125127249826852,3.7094422110378313,"{'GRSCO': 2, 'NOT FOUND IN DB': 51, 'VCG4S2': 1}",54
