,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
0,10,-72.0233211758909,52.92224002703136,-14.20718068526146,18.583870718293657,25.503912322266597,1.787559992016974,-27.028075621370927,2.247911552006837,-41.721674354263726,2.0411998321346987,{'NOT FOUND IN DB': 11},11
1,16,27.784118214440696,-26.118304513910527,-29.229445993209435,50.09490762992026,13.264357170612357,0.9595054652283448,-2.39277543712983,2.0103093130573653,-38.77163172721481,1.8665940959674785,"{'ABDMG': 1, 'NOT FOUND IN DB': 19}",20
2,17,-54.09943566907324,-20.986182003983927,24.5964888936076,50.77729651376577,19.464522258730074,2.7582350921450614,-12.998273136837824,2.0020368883902893,-40.92949505503787,1.3922240189948472,{'NOT FOUND IN DB': 12},12
3,35,-76.37943616603924,109.8642027484612,1.6065229415297422,26.67294570145029,30.97145585137629,1.8247171515655205,-35.85212429488601,2.4484671027736007,-22.30540111563396,1.4812639784720754,{'NOT FOUND IN DB': 18},18
4,40,42.79299849363828,-41.3277030220574,-83.15983694452794,44.65933635868877,-62.00094578998694,1.9312044800779689,-18.30089440209527,1.6218180559164486,-4.484422214866757,1.9369056120137231,{'NOT FOUND IN DB': 13},13
5,41,-81.45403908533203,91.11114624467844,-102.00883852576338,17.160702300884473,34.068832342668884,1.2466519224380546,8.882448335580131,0.5426878819021469,0.8933906801046595,2.7982402943674933,{'NOT FOUND IN DB': 10},10
6,47,26.442976290707037,102.94166860056843,12.297435942427915,59.91906158785896,28.40950271129821,1.2996356826325928,0.9599561619068632,2.2186628361627982,8.041882524582737,2.125824898087276,{'NOT FOUND IN DB': 15},15
7,48,23.854181290478994,-27.79150521455553,-107.83113400195788,16.13368328043679,21.89749007783195,1.3313269074397445,-32.01775782795355,2.379345806676938,-6.196374722510131,1.2991599936582796,{'NOT FOUND IN DB': 15},15
8,69,39.48536747644779,-62.47042827928105,-105.18039985631984,31.143838438290555,16.657520667003286,1.923450490986809,-21.775024890708178,2.048268234666064,7.884125256415075,1.170503469671844,{'NOT FOUND IN DB': 14},14
9,71,-12.430018170265807,4.609240790534498,40.94730369972002,16.623954972651273,15.88452177869471,2.197917367514657,2.733452577543812,1.5391713328161856,14.606133455786765,0.45600384280768,{'NOT FOUND IN DB': 10},10
10,72,-5.7006218235589285,2.297868907933691,18.25517195308862,18.64359654986184,20.374474222032724,1.6710386966137911,-15.77184722227553,1.8010115256831876,9.529696575860129,1.434702999139652,{'NOT FOUND IN DB': 10},10
11,74,-11.453234223184442,-32.56348159151222,-7.948486131088916,27.74706691673716,32.57111968550904,1.1931185821605672,-19.46390860951669,1.2468372496207556,0.0140896034562885,0.8312276672213346,"{'FIELD': 1, 'NOT FOUND IN DB': 9}",10
12,75,-40.02356651444136,44.35611613350265,-113.50396322511013,35.683968016080925,31.044353748045207,1.0492912202632203,-5.968761410738771,0.9640816864255763,-13.631413403142586,1.936199113335086,{'NOT FOUND IN DB': 11},11
13,76,23.998939588500004,40.16528049408383,-0.0233914022080052,22.447195581275057,16.540165058997363,1.3353291985177176,-29.733471510033137,0.8783275268909039,-1.5719615057718392,1.232281585948373,{'NOT FOUND IN DB': 14},14
14,77,130.39539163714252,25.85078536595365,-57.81328130314019,6.673918290139401,-36.777100021825234,1.4593844623277286,-29.152321398705244,0.7274988914809483,-10.272850243784662,2.095244812500236,{'NOT FOUND IN DB': 10},10
15,82,-62.052599042943925,59.923517744424416,-63.61541279260673,15.627648188814227,31.273675439540263,1.4474502898402537,-18.93339461252018,1.7473419667226215,-4.106400301030865,1.7167392907284844,{'NOT FOUND IN DB': 10},10
16,85,7.860836677180765,-116.61212634074631,97.886048390041,7.996297781943093,-15.088185750357631,1.7046701742720365,-6.356195373168307,2.1006824543047293,-19.51271715676025,0.33352789097122,{'NOT FOUND IN DB': 12},12
17,86,-38.94996844130223,-44.848132680165705,51.29555434078139,26.882948639529253,8.386415622513008,1.8029648048480456,-10.097185816335568,0.8035289017627542,3.9820290327528096,1.1576104664600433,{'NOT FOUND IN DB': 14},14
18,88,26.481170017829434,140.5606258291318,3.743753734678374,23.24498986315753,14.46113126747368,1.4308995618105804,3.951043138258029,1.5247161306071828,4.769078996527349,0.8562137708457483,{'NOT FOUND IN DB': 13},13
19,89,-116.8252891259324,35.5164298096071,64.8035377001305,20.500894526282963,6.831961312819326,0.7091549586841541,-13.842597181449708,1.2479484154850584,-1.9069625543550388,1.3764524293722926,{'NOT FOUND IN DB': 10},10
20,90,141.18734202631595,-68.8019596776328,59.11580183497127,39.08441899944733,-20.433136650851157,1.5456361836023935,-2.695585642294887,1.088470553254579,-16.00707384104146,0.8800765502642921,"{'CASTAU': 1, 'FIELD': 2, 'NOT FOUND IN DB': 12, 'OCT': 1}",16
21,92,-5.461530229985738,39.32675940260966,-25.59483781083817,26.469404939684143,4.802922006372352,1.6818529762479475,-27.3384995267529,2.1953051369796666,-18.165299191344552,2.018928705973308,"{'FIELD': 1, 'NOT FOUND IN DB': 21}",22
22,93,-21.92463238402422,-41.18212123886359,-40.76137784901439,22.579111518792956,-13.20065037626826,0.7234293980791722,8.57182034468102,1.5918494717425051,-20.047295447916948,0.7309423963702654,{'NOT FOUND IN DB': 10},10
23,94,8.83219996776219,22.47296979174772,93.58338549437144,35.644594320851255,-0.1280260144524967,1.9729318409208887,-14.49626276556093,1.2679045680518126,5.508410198203366,1.3661585473137472,{'NOT FOUND IN DB': 13},13
24,98,-18.630532887480737,134.089852669397,-38.17840422511686,25.764150747844003,-38.55631893184612,1.1224261769698802,-21.29590454065369,1.5197272049298884,6.878953525902671,1.5748605333774386,{'NOT FOUND IN DB': 10},10
