,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
25,25,-41.54563502942296,12.01048340782306,-137.41182324883394,12.836958109395724,-34.202738207313786,0.9643774897706024,2.702524663700254,3.057114177936419,-8.222452682992044,2.3546995408572693,{'NOT FOUND IN DB': 12},12
26,26,1.2518551288086106,-82.95857063879578,-73.80783212454178,45.85935640118519,-7.170820830129657,1.9937776405394891,-49.31981387951728,0.6774625172848858,-16.195820041561802,1.6468850891262974,"{'FIELD': 1, 'NOT FOUND IN DB': 10}",11
27,27,-44.55626055317058,6.078571329142341,58.56808003446181,29.945005718702696,3.3432727315044284,2.428043215754844,-50.27960481279227,0.5050201332704527,-13.34613311147802,3.175904946636029,{'NOT FOUND IN DB': 10},10
28,28,-99.8223915180198,-40.21780308998603,1.982351049392826,24.41477154031352,-5.629385485253181,1.8446058433839407,-50.15808152075244,1.9810662158599308,-14.725801337374923,3.5145632784195167,"{'CEPFN': 1, 'NOT FOUND IN DB': 11}",12
29,29,36.80835930084972,-58.39904507973638,62.08253730552645,29.141207193821383,-49.67836036606516,3.26038216163161,-34.166900869635306,2.213828240217527,5.473339208747936,1.0671638687952556,{'NOT FOUND IN DB': 11},11
30,30,6.315033054106747,12.042188034649874,-11.04764995267811,31.236314235166702,-41.2025834967158,2.4789802790151696,-13.97330537479472,3.435611424598353,-34.595693375969475,1.585220025080822,{'NOT FOUND IN DB': 14},14
31,31,27.74923301137291,-20.87483691754216,2.110136664403142,37.52220767451245,3.647374981697349,2.3737784503950112,-49.17732642485008,2.4258679858775603,-6.492817320652724,5.064013685634133,"{'CEPFN': 1, 'FIELD': 6, 'NOT FOUND IN DB': 69}",76
32,32,-7.592528005642706,28.93786810973214,26.380007108760864,39.44697272641724,-0.8345377219655846,2.275192424519701,-16.938509374361498,4.057763802163883,-35.43132643826036,2.070974333532918,"{'FIELD': 1, 'NOT FOUND IN DB': 12}",13
33,33,-2.344859962540625,8.11298546676276,-15.835428927594778,35.307208985289385,40.1562934354159,4.335794165999457,5.595505023422914,3.1052852950157948,-17.364074414790988,1.3061493239964312,{'NOT FOUND IN DB': 14},14
34,34,75.81576212754771,-42.64003564099257,-18.88029009811495,37.05927152689616,41.28223273713746,4.671055853646324,-5.916904483073308,3.009792961024637,-21.264950444956245,3.092615653013689,"{'GRSCOS13': 1, 'NOT FOUND IN DB': 13}",14
35,35,-76.37943616603924,109.8642027484612,1.6065229415297422,26.67294570145029,30.97145585137629,1.8247171515655205,-35.85212429488601,2.4484671027736007,-22.30540111563396,1.4812639784720754,{'NOT FOUND IN DB': 18},18
36,36,7.252230385066768,-23.39930895211973,-17.675089171051223,38.147257829465175,-29.17983983877819,4.1376087912012895,-19.866565896502937,2.3148514268608538,-36.035655800469954,1.5973629228029331,"{'FIELD': 1, 'NOT FOUND IN DB': 13}",14
37,37,-2.341694650308703,-6.1547716286917895,-1.481776306507635,42.83740686806664,46.249176808873045,1.880096735482684,-3.976662740145268,3.015126224171666,-1.8295279228543813,2.0844943983734865,{'NOT FOUND IN DB': 20},20
38,38,-33.032146576013865,14.87809680219764,-39.22503574797895,32.311920409858494,-10.179824440199743,1.86505932814623,-25.316507692494145,4.114097478499634,-32.97182047933298,1.3399971621761575,{'NOT FOUND IN DB': 14},14
39,39,20.80986439715116,-7.561490404990206,115.51773660400528,41.01149640707258,-48.78431877542882,0.7102754752163428,-35.665628512896085,1.3795157845588684,-6.661610067780961,1.4298597050679207,{'NOT FOUND IN DB': 11},11
40,40,42.79299849363828,-41.3277030220574,-83.15983694452794,44.65933635868877,-62.00094578998694,1.9312044800779689,-18.30089440209527,1.6218180559164486,-4.484422214866757,1.9369056120137231,{'NOT FOUND IN DB': 13},13
41,41,-81.45403908533203,91.11114624467844,-102.00883852576338,17.160702300884473,34.068832342668884,1.2466519224380546,8.882448335580131,0.5426878819021469,0.8933906801046595,2.7982402943674933,{'NOT FOUND IN DB': 10},10
42,42,109.21775543702756,-43.07628724331101,-57.02562350998722,34.26880729953052,-32.51219325024858,3.4367169837742924,-34.985830822297125,1.637540691025842,10.42723961317198,1.507014919229676,{'NOT FOUND IN DB': 19},19
43,43,-48.20685787477792,-23.869465224650163,15.593013228544862,17.731344918188704,-22.103111729350992,1.974255354700822,-40.71599641310573,0.9918920049439752,6.680828548915668,2.345182937076531,{'NOT FOUND IN DB': 20},20
44,44,40.45866251154153,-16.00129491769971,35.83531923368636,54.22785037410299,-25.050343487539912,2.7392787477266527,-37.987508545625104,1.6199325337396444,7.25731508194425,3.185091844112772,{'NOT FOUND IN DB': 29},29
45,45,35.219769733345714,119.08554898530114,-74.72326922052278,29.913666087314315,44.57305456625621,1.7308473694707809,-24.459816341099263,0.6944541395084046,-7.2884907487214,3.04283453844192,{'NOT FOUND IN DB': 15},15
46,46,-24.978823529822517,-5.367171794816954,-90.50650027906816,26.30934775652202,-54.10099756449105,2.3611288445557848,-46.736447754428326,1.965020704233692,-7.589119289428163,1.735763022663516,"{'FIELD': 1, 'NOT FOUND IN DB': 10}",11
47,47,26.442976290707037,102.94166860056843,12.297435942427915,59.91906158785896,28.40950271129821,1.2996356826325928,0.9599561619068632,2.2186628361627982,8.041882524582737,2.125824898087276,{'NOT FOUND IN DB': 15},15
48,48,23.854181290478994,-27.79150521455553,-107.83113400195788,16.13368328043679,21.89749007783195,1.3313269074397445,-32.01775782795355,2.379345806676938,-6.196374722510131,1.2991599936582796,{'NOT FOUND IN DB': 15},15
