,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
91,174,-10.327588388545198,67.37591067004344,-105.12252032988184,5.678407976434448,-7.320573748801174,1.0198616711394302,-4.041181685955078,0.8203350207372507,-18.33195039812489,1.280488336253204,"{'ABDMG': 3, 'CRA': 5, 'FIELD': 9, 'GRSCOS27E': 1, 'HYA': 1, 'L1495': 1, 'L1517': 1, 'LUP': 1, 'LUPIII': 1, 'PERI': 1, 'ROPH': 4}",28
92,175,-60.02977501500301,6.510710968346192,-98.22333543998283,6.2097312808968255,-9.17617781313754,0.5017391508518969,-4.244603791586759,0.3184148287683289,-18.2085477170587,0.7020066097692249,"{'ABDMG': 3, 'FIELD': 2, 'HYA': 1, 'PERI': 1, 'THA': 6}",13
93,176,-117.91882638738964,-52.7734207827324,-92.51323599179268,2.54666275690564,-11.292550195038588,0.8258700077322395,-5.1514989995981,0.5623067693922104,-18.62360335367557,0.305045118439217,"{'COL': 1, 'FIELD': 3, 'HYA': 3, 'MUTAU': 3, 'PERI': 1, 'PLE': 1, 'TAUMGLIU4': 1}",13
110,195,-4.816138461542183,-161.52038923687698,14.653894489907207,5.128833585004569,-23.459393102801133,0.5697630676024694,-15.907494453192514,0.8089711493980644,-5.897547206595447,0.4928592344012955,"{'CPL9': 1, 'CUMA': 4, 'FIELD': 14, 'SPL8': 1, 'SPLE': 1}",21
111,196,0.3927785814596861,-148.88179937763826,-19.390327305024677,1.0878085112378095,-23.73249236511902,0.3730310041471128,-14.805669604442915,1.8930346818641004,-5.711125398352501,0.3254256013323569,"{'CIC2391': 2, 'CPRA': 12, 'FIELD': 23, 'IC2391': 2, 'PL5': 3, 'PL8': 2, 'PRA': 3, 'SIC2391': 2, 'SPL8': 1, 'SPLE': 1, 'UPK540': 1, 'VCA': 1}",53
141,228,-43.297390629545134,-130.64132519875514,-59.66361634834524,6.509573689663796,-7.465718120969548,0.6733831043815064,-24.94292733046918,1.0352524725868144,-14.184376668545628,0.6490762397034663,"{'FIELD': 18, 'NGC2451A': 6, 'VCG4S5': 1}",25
143,230,-123.24629557592634,0.3790137151805096,-77.8061633026816,4.274072221794136,-14.64111428396384,0.3828829090993061,-23.98750574036248,0.4442500092264475,-7.09493109677836,0.3753439896514802,"{'HYA': 1, 'MUTAU': 3, 'NGC3228': 1, 'PLE': 6, 'TAU': 1, 'THA': 1, 'XFOR': 1}",14
146,233,6.779926143419169,-27.869254052327825,-35.22035652197812,4.200637248676394,-9.757423491994624,0.57623056180277,-20.810341995018764,0.2949639971681456,-0.6383947727922787,0.8277969915335694,"{'ABDMG': 5, 'BPMG': 1, 'CARN': 1, 'COL': 1, 'COL135': 1, 'CRA': 1, 'FIELD': 16, 'HYA': 2, 'L1529': 1, 'NGC6405': 1, 'PERI': 7, 'PLE': 3, 'ROPH': 1, 'SPLE': 1, 'STHOR': 1, 'TAU': 1, 'UPK640': 1}",45
147,234,142.76443932776618,-3.874659153822683,-37.0960107356311,4.445643410233982,-4.595779497378485,0.9836893496120336,-17.46717716292738,0.3354744272991486,-8.078128392175739,1.060172754864132,"{'FIELD': 11, 'HYA': 1, 'PLE': 4, 'ROPH': 1, 'USCO': 3}",20
149,236,166.68981794932037,-50.98327149114029,13.264356568299917,3.0564100765068773,-3.9566658481604233,1.2021344298644994,-19.63055514601937,0.5790846043531187,-4.189254072530792,0.3950521096004289,"{'CUMA': 1, 'FIELD': 22, 'GRSCOS14': 1, 'GRSCOS17H': 1, 'GRSCOS20': 1, 'LUPIII': 2, 'USCO': 3}",31
150,237,-23.704371093585163,-54.57819878269143,-43.006268428897066,11.8815123693318,-12.671552565677196,0.4688299284231993,-21.890459978981845,0.4095160296455621,-4.985457751172936,0.599203964511691,"{'COL': 1, 'FIELD': 3, 'HYA': 3, 'MUTAU': 1, 'TAU': 2, 'TAUMGLIU4': 1}",11
152,239,140.23980781587164,-24.489538211585486,27.34277889040492,13.73475627138776,-2.5687595787624447,0.9054284515861526,-16.751706790230294,0.4251447740428843,-6.722169449394257,0.5015555472624468,"{'FIELD': 6, 'GRSCOS17H': 1, 'GRSCOS22': 1, 'GRSCOS23': 1, 'GRX': 1, 'UCL': 4, 'USCO': 1}",15
153,240,134.17661868423224,-19.174882393245703,52.592638237054274,6.309386030820998,-6.059321496985144,1.678357430179746,-16.021480744185183,0.8149721043857445,-7.785458855566481,1.363192312714983,"{'BPMG': 1, 'FIELD': 23, 'GRSCOS15': 1, 'GRSCOS17H': 1, 'GRSCOS20': 1, 'GRSCOS23': 1, 'GRX': 4, 'LUP': 3, 'LUPIV': 1, 'UCL': 19, 'USCO': 6}",61
