,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,6290381235975013376,58.75311959323709,-37.22193106569876,59.48136804504917,-39.46478532098974,-16.918353723516113,-8.59298502569872,211,NOT FOUND IN DB
1,3646672257893984640,39.538345585765306,-12.571764324788331,56.89397798922548,-41.33132509438057,-16.84452070796258,-6.749462333092196,211,NOT FOUND IN DB
2,6336314094434517632,64.21700339404042,-5.49921562467253,64.02060810667193,-41.37454089180398,-15.035180046748929,-8.69671292262687,211,NOT FOUND IN DB
3,6312826670639581440,55.68852620594514,-11.672878401733488,46.31342899046343,-40.22837687363812,-16.679154490099197,-7.676676727825736,211,NOT FOUND IN DB
4,4355503146348238464,76.29559813509215,10.614779533423144,45.62383832130302,-42.38864396614911,-16.570038213920732,-8.200607007535234,211,NOT FOUND IN DB
5,4435625108419697280,71.44087755104994,29.712899938322064,45.95656762911557,-43.33015653816446,-16.039328540127087,-11.061432381626258,211,NOT FOUND IN DB
6,4352066725834282880,76.84310701424445,10.640050133625047,41.56784218494664,-45.98722149098331,-17.688320249123574,-11.217147819604111,211,NOT FOUND IN DB
7,4363791226342946944,79.47945576532075,27.38976501199349,27.257337239759615,-43.94874783989773,-17.903857572000803,-8.751921153687917,211,THEIA691
8,4363791230638676992,79.4851272470655,27.390138256505477,27.26147980053905,-43.90043564032323,-17.701411293564938,-8.63084904794376,211,THEIA691
9,4149378556184809344,77.81895713486591,17.14908848991492,11.38793633074262,-45.34544577007012,-17.62459709447561,-11.19447036661844,211,THEIA222
10,4333416118112763136,87.8308788509694,12.192802749468033,30.798399929375822,-43.08194324136525,-18.105930881845914,-11.002550928279884,211,NOT FOUND IN DB
11,4385923815590706560,75.43164963435324,28.81883381210232,44.629427260683485,-44.046045457078165,-15.08869332238775,-9.646357158497768,211,NOT FOUND IN DB
12,4380520712372836480,88.38792695881057,34.43770321247344,37.87156184309105,-44.96349479962791,-17.00605205220673,-11.017263023937428,211,THEIA927
