,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,472245436752388096,-81.4744962947434,55.46231874387205,13.278645428378306,-12.48051800334281,-23.12606159308143,-7.1794345948277805,229,THEIA524
1,275989414421734272,-100.04140532120198,58.2174035245333,3.3566791752556964,-12.237135871722456,-24.34087713342805,-6.770339030507239,229,SAPER
2,252984500131208704,-114.27746286557102,41.67181890566121,-1.478065203449802,-11.915377198786777,-24.33073840722491,-6.884401994579223,229,THEIA1476
3,430808348197793152,-60.00145890016093,98.07840187356216,0.4199062520707861,-11.280044539898396,-23.2793483178746,-6.265364300455853,229,THEIA1007
4,463515932901756672,-87.62924241620688,73.82667030994652,8.87781425901973,-13.188738136328851,-22.13260163945396,-6.906203296510903,229,THEIA142
5,276265868576099328,-96.53790899150904,59.544834505791655,3.852330759048735,-13.063476416123237,-22.893239391511703,-6.601172409322327,229,THEIA801
6,257469068765000832,-105.66832993428706,44.74403942255997,2.295603878077357,-13.167725201286371,-23.84114593624385,-7.103072014860222,229,THEIA1358
7,514673700690854144,-79.08584648365058,89.1374562207715,3.474414363288921,-12.000239476639068,-23.275538251597595,-7.002628418594712,229,THEIA446
8,513639128959335680,-76.22177095724918,80.1027893831931,1.5968768108462774,-11.909182154950877,-23.48780685020818,-7.312155162247292,229,THEIA524
9,444103745874052480,-102.092232088898,66.87009012986383,-2.975953486306877,-13.5500765894855,-22.525062846448836,-6.353787196483379,229,THEIA1112
10,442184853266451968,-99.28983432461436,63.89670633384984,-6.6724815978302825,-14.155703246552164,-22.348761408545904,-6.143856335658642,229,THEIA1112
11,249377384738537088,-96.04938875481842,60.344469069064246,-10.909695587576236,-12.55498698611602,-23.482482066170945,-6.694254762822391,229,THEIA226
12,505057470764504064,-80.95909148039345,88.46786872094536,-10.382671932098088,-12.769920765236185,-22.791524675122485,-7.096399447098148,229,THEIA524
13,253575491934296960,-107.69627062877068,42.446656349170624,-3.8342473492769753,-13.53431170941936,-23.589053091011788,-7.41900610877944,229,THEIA1611
14,229434782130416512,-131.73605690046335,53.498473361856256,-12.846876898043911,-14.077653978760203,-23.993674256199185,-6.8868323336304,229,CEPFN
15,64490346995125504,-115.98673420819794,28.55187392939353,-60.38838699615181,-14.632069202113334,-23.809831188725838,-6.820161212080262,229,XFOR
16,2011822299896619648,-62.61178019295952,131.39294917137863,-2.797022443429216,-10.33809483553553,-22.934094033346337,-6.222761563138077,229,THEIA32
17,1998700826906086144,-53.64955771137588,124.47550992899998,-9.40064175110956,-10.915433598233642,-22.74966950462377,-6.757247335780013,229,NGC7092
18,2013637937193278976,-43.74230308687025,122.39078259154311,-0.6623597209225814,-10.240529271071608,-24.1620241882869,-6.935517587326659,229,GRORI
19,1997820294195124224,-54.22875310955752,123.34134725929177,-11.524594601880183,-11.391770666149624,-22.861852753427694,-6.9329703109922605,229,THEIA822
20,199750373362154240,-137.58239197445562,37.87873333882428,-8.87667705302674,-12.847433962068642,-24.600031838914177,-7.384425124259595,229,NGC7092
