,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,6642404452135414656,80.59277277516485,-21.358041336345504,-48.74613570271589,-6.617148515857359,-3.68945933901882,-8.589780676732797,170,NOT FOUND IN DB
1,6645771401554811392,79.9464491725694,-19.231369626533077,-45.95940468001472,-7.067158185050776,-3.5622008747815808,-8.333459308486608,170,NOT FOUND IN DB
2,6409015693050927616,48.34997610542037,-26.85601169062818,-54.06171978407224,-7.669735278547266,-3.987852911828159,-8.894486405822057,170,NOT FOUND IN DB
3,6415501540344345856,67.02456906365713,-55.05932685829991,-45.76675563870663,-7.159968036350621,-4.233495754852845,-9.284860621294786,170,NOT FOUND IN DB
4,6441862159820034176,84.35299037756529,-41.85847707147749,-53.159575422357406,-6.510136795126092,-4.11908850792124,-8.73812010470131,170,NOT FOUND IN DB
5,6422068442263108864,79.1369307331622,-48.53491393575616,-49.060803372053726,-7.553801370569641,-3.9748055320525215,-8.815734767885212,170,ROPH
6,5768634969705999744,75.41348150718342,-94.62422331159412,-50.8139464698129,-7.289080250581249,-4.840283649878989,-9.376062260186597,170,FIELD
7,5779316931329981952,98.22706804754718,-118.10858851982324,-51.167333551914304,-8.744541152770317,-5.838114782854952,-9.148746777194471,170,FIELD
8,5769091163949813120,97.27709169811996,-117.25448276837092,-59.44729748549514,-11.099959345107765,-3.620595177249347,-8.982939486982445,170,GRSCOS20
9,5782351480348470272,120.2373316291058,-120.43523485596944,-49.02524275744705,-7.408993711867541,-4.555311955325533,-9.853118759159432,170,FIELD
