,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,4808165830030420352,-19.32752560897955,-42.47653136644282,-26.354106443705945,-12.183333975998051,-21.54739746421004,-5.791901947898748,237,FIELD
1,4767595019195868288,-9.495320452577024,-74.53146423601507,-45.06310219767045,-13.100615556443008,-22.41063644331082,-3.939555024118491,237,FIELD
2,4844618213903654784,-26.411836109904797,-47.85918576354425,-57.48420594207471,-12.714239872093923,-21.62691055822172,-4.465354460159286,237,MUTAU
3,4813691219557127808,-25.6335156321881,-55.8630001821228,-47.4157521174538,-13.024978267958245,-21.975624793143087,-4.503980067049449,237,TAU
4,4814443246854579072,-13.551136023790637,-35.590712785174695,-32.95431803927947,-11.912772086281375,-21.6260392194238,-5.708861896033643,237,TAUMGLIU4
5,4867855155206070784,-31.855264853397,-49.77703526587588,-51.106700212029,-12.895548778984224,-21.82361182874697,-5.3540263560913095,237,HYA
6,4821620725617934336,-21.085959261015173,-37.36958808536182,-27.266059527255067,-12.116828978887572,-21.29495966347972,-5.304543641528464,237,TAU
7,2901692175901636480,-27.96408785826228,-42.97227331992541,-28.970382118327088,-12.899736598100027,-22.00981814165545,-5.342859304130645,237,FIELD
8,4812786596365701248,-29.79910661742985,-69.9856603702889,-55.42971042739606,-13.211769760290837,-22.77523424390007,-4.949869423751317,237,HYA
9,4805713433766930560,-27.77867465873392,-71.87943018193485,-50.44754269999005,-13.25561819401549,-22.41614269800583,-4.933018533888191,237,HYA
10,4805713438064155008,-27.8456549531584,-72.05530505291925,-50.577072992686126,-12.071636153396415,-21.288684714702796,-4.546064608252748,237,COL
