,SOURCE_ID,X,Y,Z,U,V,W,Group,BEST_HYP
0,6702775135228913280,45.39496171034054,-15.071280211109716,-11.92383772084047,-7.865685696991965,-16.189986597432497,-9.106302164177386,220,USCO
1,6794047652729201024,7.589077944941076,1.7037403626661305,-5.819520401478381,-11.430783976360924,-16.38693261823784,-9.170695072263063,220,ROPH
2,6882838031333427456,32.56560504609131,19.03171574386733,-26.478420244981315,-9.87647537842095,-15.115818148120637,-8.989246968201424,220,NOT FOUND IN DB
3,6833292181958100224,21.96120874786703,12.29974960726828,-20.34428690150816,-10.0480648503176,-15.31310630930624,-9.769568281259154,220,USCO
4,6470519830886970880,47.51308148756063,-12.895842012955583,-40.37232453561593,-8.29509485735195,-16.6087567198837,-9.187539995230583,220,FIELD
5,6643589352010758400,40.9296793163836,-12.686652602994688,-21.129111031980536,-9.073816297035492,-15.28939927428093,-7.842049738931164,220,ROPH
6,6631762764424312960,41.50860602308739,-20.747710500159997,-20.098729842811984,-8.795720830524605,-15.598456649375503,-8.008265822137696,220,ROPH
7,6631685008336771072,41.66846716409389,-20.81185177494888,-20.02649119729899,-9.571105955803878,-15.23869050049234,-7.830371314799259,220,FIELD
8,6382640367603744128,19.599241458828075,-18.97459283434096,-24.58362444207168,-10.840965413498855,-15.319986525135228,-7.303179202491893,220,FIELD
9,4707563810327288192,14.612121465829192,-18.603000982388544,-28.220144795266062,-11.219365136515195,-15.171202616990048,-7.221634557228818,220,STHOR
10,2962658549474035584,-12.375545133418171,-11.336133881286749,-10.55828375401657,-12.469825500468913,-15.262699311884944,-7.885493474083161,220,HYA
11,6747467224874108288,45.23852994459645,6.9355607795146526,-23.20710788222407,-9.567661615222493,-15.281713219313655,-8.154636061090402,220,ROPH
12,6700649538727351040,42.81819795868488,6.93415907279356,-23.98179327400628,-11.094064595256324,-15.52268979340986,-7.580379007568373,220,ROPH
13,6747106443324127488,52.28710165687695,7.249509425374311,-28.436955820456056,-7.7948353221966045,-15.835652603489793,-9.054211974964534,220,ROPH
14,6847146784384459648,42.591530252628566,12.225535954831928,-23.392323393358414,-7.562876451524136,-14.855697511150094,-9.99249330222032,220,ROPH
15,6850091001646725248,40.73253664075304,11.31136876966936,-21.396787012588597,-9.864058078268767,-17.402160079390917,-6.895227626159193,220,RUP98
16,4050178830427649024,54.94030965822617,0.8236465698636323,-4.026902906509656,-8.808575000284113,-14.589093515678137,-8.440277050932512,220,USCO
17,6854064945906527104,50.415886478796665,20.592837486003333,-28.956449709691505,-8.108706970529195,-16.603508201693923,-7.766473409251011,220,ROPH
18,6854064945906527488,50.361313104038906,20.570188327326704,-28.923906280707115,-9.11661771991422,-17.041404343819075,-8.616504107865335,220,RUP98
19,4035322057507690752,56.40103171404202,-9.035185011509586,-8.406683794187204,-8.897973388386639,-15.06377392092487,-6.756377443671683,220,FIELD
20,6754492966739292928,57.59555904521328,13.478101764042169,-26.08488199111886,-7.252612788600093,-14.9120604124705,-9.294068708647522,220,FIELD
21,5963633872326630272,30.29982981277628,-10.054495763246656,-1.2380303800216137,-9.233524172675496,-16.332288541423665,-10.20266375022487,220,UCL
22,4067828843907821824,63.54565058328967,5.558243814841154,1.4829419328228597,-8.806900707761862,-14.469876723994686,-8.372911738829995,220,UCL
